"REF_DATE","GEO","DGUID","Assets and debts","Net worth quintiles","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Total assets","Highest net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751218","1.1.6.5","822300","","","","0"
"1999","Canada","2016A000011124","Total assets","Highest net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751219","1.1.6.6","1155000","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Total, all net worth quintiles","Dollars","2012 constant dollars","23","millions","6","v80751220","1.2.1.1","1309523","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Total, all net worth quintiles","Percentage of total assets or total debts","Percent","239","units ","0","v80757539","1.2.1.2","29.2","","","","1"
"1999","Canada","2016A000011124","Private pension assets","Total, all net worth quintiles","Number of family units","Number","223","thousands","3","v80757540","1.2.1.3","8511","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Total, all net worth quintiles","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757541","1.2.1.4","69.7","","","","1"
"1999","Canada","2016A000011124","Private pension assets","Total, all net worth quintiles","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751221","1.2.1.5","65500","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Total, all net worth quintiles","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751222","1.2.1.6","153900","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Lowest net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751223","1.2.2.1","2753","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Lowest net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757542","1.2.2.2","10.5","","","","1"
"1999","Canada","2016A000011124","Private pension assets","Lowest net worth quintile","Number of family units","Number","223","thousands","3","v80757543","1.2.2.3","538","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Lowest net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757544","1.2.2.4","22.0","","","","1"
"1999","Canada","2016A000011124","Private pension assets","Lowest net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751224","1.2.2.5","2600","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Lowest net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751225","1.2.2.6","5100","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Second net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751226","1.2.3.1","26748","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Second net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757545","1.2.3.2","13.7","","","","1"
"1999","Canada","2016A000011124","Private pension assets","Second net worth quintile","Number of family units","Number","223","thousands","3","v80757546","1.2.3.3","1499","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Second net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757547","1.2.3.4","61.4","","","","1"
"1999","Canada","2016A000011124","Private pension assets","Second net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751227","1.2.3.5","12800","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Second net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751228","1.2.3.6","17800","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Middle net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751229","1.2.4.1","100080","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Middle net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757548","1.2.4.2","19.5","","","","1"
"1999","Canada","2016A000011124","Private pension assets","Middle net worth quintile","Number of family units","Number","223","thousands","3","v80757549","1.2.4.3","1960","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Middle net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757550","1.2.4.4","80.2","","","","1"
"1999","Canada","2016A000011124","Private pension assets","Middle net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751230","1.2.4.5","40100","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Middle net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751231","1.2.4.6","51100","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Fourth net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751232","1.2.5.1","269583","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Fourth net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757551","1.2.5.2","28.9","","","","1"
"1999","Canada","2016A000011124","Private pension assets","Fourth net worth quintile","Number of family units","Number","223","thousands","3","v80757552","1.2.5.3","2189","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Fourth net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757553","1.2.5.4","89.6","","","","1"
"1999","Canada","2016A000011124","Private pension assets","Fourth net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751233","1.2.5.5","107300","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Fourth net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751234","1.2.5.6","123200","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Highest net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751235","1.2.6.1","910358","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Highest net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757554","1.2.6.2","32.3","","","","1"
"1999","Canada","2016A000011124","Private pension assets","Highest net worth quintile","Number of family units","Number","223","thousands","3","v80757555","1.2.6.3","2324","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Highest net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757556","1.2.6.4","95.1","","","","1"
"1999","Canada","2016A000011124","Private pension assets","Highest net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751236","1.2.6.5","321300","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Highest net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751237","1.2.6.6","391700","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Total, all net worth quintiles","Dollars","2012 constant dollars","23","millions","6","v80751238","1.3.1.1","536422","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Total, all net worth quintiles","Percentage of total assets or total debts","Percent","239","units ","0","v80757557","1.3.1.2","11.9","","","","1"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Total, all net worth quintiles","Number of family units","Number","223","thousands","3","v80757558","1.3.1.3","7197","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Total, all net worth quintiles","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757559","1.3.1.4","58.9","","","","1"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Total, all net worth quintiles","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751239","1.3.1.5","26200","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Total, all net worth quintiles","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751240","1.3.1.6","74500","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Lowest net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751241","1.3.2.1","1679","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Lowest net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757560","1.3.2.2","6.4","","","","1"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Lowest net worth quintile","Number of family units","Number","223","thousands","3","v80757561","1.3.2.3","390","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Lowest net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757562","1.3.2.4","16.0","","","","1"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Lowest net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751242","1.3.2.5","2600","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Lowest net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751243","1.3.2.6","4300","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Second net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751244","1.3.3.1","13624","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Second net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757563","1.3.3.2","7.0","","","","1"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Second net worth quintile","Number of family units","Number","223","thousands","3","v80757564","1.3.3.3","1164","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Second net worth quintile","Percentage of family units holding asset or debt","Percent","239","units ","0","v80757565","1.3.3.4","47.7","","","","1"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Second net worth quintile","Median amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751245","1.3.3.5","6800","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Second net worth quintile","Average amount for family units holding asset or debt","2012 constant dollars","23","units ","0","v80751246","1.3.3.6","11700","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Middle net worth quintile","Dollars","2012 constant dollars","23","millions","6","v80751247","1.3.4.1","41751","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Middle net worth quintile","Percentage of total assets or total debts","Percent","239","units ","0","v80757566","1.3.4.2","8.1","","","","1"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Middle net worth quintile","Number of family units","Number","223","thousands","3","v80757567","1.3.4.3","1594","","","","0"
