,MAE,RMSE,R2
SVR,0.0894641140144066,0.10437317784646194,0.07505765936408992
Ridge Regression,0.07774931481402914,0.10840110305391626,0.0022901724690382874
Decision Tree,0.10044653343979396,0.11473893154660453,-0.11778544423983517
Naive Baseline,0.0811651472513514,0.12799102039762505,-0.39089981726199863
Gradient Boosting,0.11397249744495534,0.12936348934178424,-0.420889450621017
Random Forest,0.12075129672631628,0.13160503233256043,-0.4705569214302292
Linear Regression,0.11510500671275806,0.14612171788691466,-0.8128688467654468
Neural Network,0.6579207125244368,0.6889906624831683,-39.30542635577333
